# Identifiability Atlas for Biexponential IVIM model
# D_true/Dstar_true/f_true: Absolute parameters (mm^2/s, mm^2/s, unitless)
# snr: Signal-to-Noise ratio
# shrinkage_D/Dstar/f: relative marginal width shrinkage (1 - post_90_width / prior_90_width)
# corr_f_Dstar: Pearson correlation between f and D* samples
# mono_collapse_indicator: Posterior mass on f < 0.025
# classification: recoverable, f-D* trade-off, or mono-exp collapse
D_true,Dstar_true,f_true,snr,shrinkage_D,shrinkage_Dstar,shrinkage_f,corr_f_Dstar,mono_collapse_indicator,classification
0.0011142857142857144,0.01,0.14285714285714285,10.0,0.59254146,-0.009768009,0.28514832,-0.231605155439802,0.039000000804662704,f-D* trade-off
0.0011142857142857144,0.01,0.20428571428571426,10.0,0.55266964,-0.0020805597,0.24618459,-0.24594586029875878,0.027000000700354576,f-D* trade-off
0.0011142857142857144,0.01,0.26571428571428574,10.0,0.5511705,0.024880111,0.34361434,-0.1311474829748436,0.017000000923871994,f-D* trade-off
0.0011142857142857144,0.01,0.3271428571428572,10.0,0.46542192,0.027731717,0.3134663,-0.08699302915580533,0.01600000075995922,f-D* trade-off
0.0011142857142857144,0.01,0.38857142857142857,10.0,0.44996256,0.038721144,0.32032162,-0.023102424964357094,0.006000000052154064,f-D* trade-off
0.0011142857142857144,0.01,0.45,10.0,0.37276942,0.02351129,0.3136484,-0.1343100980519434,0.004000000189989805,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.02,10.0,0.6509102,-0.0168581,0.36940163,-0.09408383532083048,0.06800000369548798,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.08142857142857143,10.0,0.607143,-0.017641306,0.32729763,-0.19602838207814985,0.04800000041723251,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.14285714285714285,10.0,0.6157694,0.0028247833,0.36853892,-0.21602552483276535,0.01600000075995922,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.20428571428571426,10.0,0.60398567,0.035764813,0.416054,-0.18888041473218012,0.00800000037997961,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.26571428571428574,10.0,0.54039395,0.057997763,0.37138277,0.017298345137376946,0.00800000037997961,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.3271428571428572,10.0,0.49367267,0.06453496,0.38597238,-0.0533612857531367,0.0020000000949949026,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.38857142857142857,10.0,0.39763677,0.058244586,0.36920935,-0.14580880771264154,0.0010000000474974513,f-D* trade-off
0.0011142857142857144,0.025714285714285717,0.45,10.0,0.33930272,0.07411903,0.29073507,-0.15369809970289006,0.0,f-D* trade-off
0.0011142857142857144,0.04142857142857143,0.02,10.0,0.63604677,0.0005314946,0.3535263,-0.13186710767458168,0.06599999964237213,f-D* trade-off
0.0011142857142857144,0.04142857142857143,0.08142857142857143,10.0,0.63175976,-0.023280501,0.31259704,-0.20306055750554863,0.028999999165534973,f-D* trade-off
0.0011142857142857144,0.04142857142857143,0.14285714285714285,10.0,0.62094086,0.017001748,0.3494829,-0.253448533161305,0.008999999612569809,f-D* trade-off
0.0011142857142857144,0.04142857142857143,0.20428571428571426,10.0,0.6154002,0.029548764,0.41509014,-0.17631103286061459,0.006000000052154064,f-D* trade-off
0.0011142857142857144,0.04142857142857143,0.26571428571428574,10.0,0.50561416,0.045036316,0.35261923,-0.004896825211789521,0.00800000037997961,f-D* trade-off
0.0011142857142857144,0.04142857142857143,0.3271428571428572,10.0,0.480223,0.046077847,0.36567062,-0.09820058281623109,0.003000000026077032,f-D* trade-off
0.0011142857142857144,0.04142857142857143,0.38857142857142857,10.0,0.38353467,0.058522165,0.30703813,-0.0957404495644614,0.0020000000949949026,f-D* trade-off
0.0011142857142857144,0.04142857142857143,0.45,10.0,0.35333014,0.060973346,0.32082492,-0.09156293463444437,0.0010000000474974513,f-D* trade-off
0.0011142857142857144,0.05714285714285715,0.02,10.0,0.65781176,-0.018627048,0.37109423,-0.12059249396659018,0.06400000303983688,f-D* trade-off
0.0011142857142857144,0.05714285714285715,0.08142857142857143,10.0,0.6172495,-0.027592778,0.30655396,-0.1661812466644475,0.029999999329447746,f-D* trade-off
0.0011142857142857144,0.05714285714285715,0.14285714285714285,10.0,0.61347854,0.010959268,0.36278665,-0.22271214085707755,0.012000000104308128,f-D* trade-off
0.0011142857142857144,0.05714285714285715,0.20428571428571426,10.0,0.59551823,0.037706494,0.42810482,-0.15845809027993524,0.004999999888241291,f-D* trade-off
0.0011142857142857144,0.05714285714285715,0.26571428571428574,10.0,0.5376004,0.042957783,0.3577981,-0.0330258322658618,0.00800000037997961,f-D* trade-off
0.0011142857142857144,0.05714285714285715,0.3271428571428572,10.0,0.46342075,0.045645177,0.3654636,-0.11045392266125019,0.0020000000949949026,f-D* trade-off
0.0011142857142857144,0.05714285714285715,0.38857142857142857,10.0,0.3310204,0.073180616,0.31410533,-0.15093725955255363,0.006000000052154064,f-D* trade-off
