snr_single,snr_avg,chi2_red,npe_selfconsistency,heldout_rms_z,covered95_allheldout
28.0932,68.8141,0.02538,20.10447,21.86800,0
23.2333,56.9097,0.40491,12.22879,12.54655,0
37.8945,92.8221,8.21989,29.89685,37.32550,0
41.3747,101.3468,9.79008,28.25264,33.64675,0
21.4014,52.4225,2.85973,17.58703,20.51722,0
32.5291,79.6798,0.59552,10.95024,11.44849,0
34.1422,83.6311,6.44297,22.85398,26.52921,0
38.0845,93.2876,0.22056,19.17174,23.85795,0
10.0089,24.5167,0.91599,6.52666,8.33744,0
43.5912,106.7763,0.18955,26.51143,27.25317,0
51.9777,127.3189,2.30276,12.14795,14.50138,0
25.1359,61.5702,1.29656,19.43798,23.17441,0
41.1917,100.8985,0.05557,27.22616,32.90924,0
26.6907,65.3786,0.33869,19.74171,23.43182,0
27.0291,66.2076,0.35049,7.91270,9.34927,0
33.7018,82.5521,0.60924,20.84964,22.63635,0
40.7720,99.8706,2.06248,26.75266,29.02261,0
23.8181,58.3422,0.53871,9.35996,9.72533,0
30.0993,73.7280,0.75653,10.05895,12.49676,0
15.5842,38.1733,1.98924,10.35118,11.96792,0
22.2136,54.4119,0.94847,17.31452,21.50440,0
18.9191,46.3421,7.47820,16.93552,20.58167,0
35.9520,88.0640,2.61916,20.12881,28.25259,0
19.6262,48.0741,0.80364,12.81088,16.07662,0
23.9297,58.6156,0.05560,21.18699,23.78310,0
10.7966,26.4461,0.00037,7.87816,9.29375,0
42.4184,103.9034,2.47314,26.42811,31.17351,0
30.3453,74.3304,0.51117,17.40635,20.06383,0
13.9082,34.0681,0.89820,10.77868,12.90357,0
36.3548,89.0508,0.46052,25.50122,28.43197,0
29.2673,71.6900,1.62939,19.63890,22.51964,0
30.2933,74.2032,2.46438,19.96118,27.58638,0
28.5335,69.8925,4.38882,25.00765,30.03544,0
22.3124,54.6540,4.25746,14.95911,17.07310,0
18.5984,45.5567,0.25051,8.16039,10.02849,0
30.6673,75.1192,0.40280,21.48499,24.42664,0
34.5250,84.5687,3.22920,22.62581,26.28460,0
36.0576,88.3226,0.70588,15.11032,16.96647,0
41.6978,102.1384,0.38348,15.21330,18.22139,0
26.1751,64.1155,2.01600,8.93735,9.67187,0
31.9536,78.2700,12.04551,19.10993,23.50597,0
34.1488,83.6472,0.28161,20.02260,22.07619,0
24.4120,59.7968,4.00106,16.38100,19.71908,0
28.4676,69.7312,1.19689,23.25747,26.63452,0
22.9184,56.1385,0.71411,13.89967,17.98408,0
14.2614,34.9330,4.81768,14.29340,17.86193,0
28.2714,69.2504,0.82111,22.92570,27.61164,0
22.9553,56.2287,5.01497,7.19186,8.32087,0
29.2292,71.5966,0.00324,19.27585,21.42692,0
14.0362,34.3815,0.00279,10.57795,11.64389,0
